time,ERCOT_WEST_2022
2993,23.3034
2994,43.4961
2995,105.1907
2996,125.0709
2997,83.9405
2998,77.0364
2999,70.6945
3000,67.9084
3001,52.5877
3002,33.3762
3003,29.5674
3004,27.6306
3005,43.7828
3006,57.2778
3007,67.6383
3008,47.7968
3009,43.4581
3010,44.256
3011,48.0552
3012,61.6721
3013,71.8563
3014,75.4429
3015,108.3958
3016,89.0269
3017,76.6951
3018,79.6667
3019,82.7441
3020,80.1712
3021,78.3414
3022,64.2595
3023,51.1194
3024,51.7942
3025,42.7981
3026,34.0897
3027,26.5159
3028,22.2201
3029,22.8689
3030,36.8931
3031,32.8376
3032,34.532
3033,49.7157
3034,52.9132
3035,54.9533
3036,57.6028
3037,54.5774
3038,43.5098
3039,17.9922
3040,15.1869
3041,14.4591
3042,17.1085
3043,48.6787
3044,63.0318
3045,53.7574
3046,51.1787
3047,50.0352
3048,37.6471
3049,-0.1551
3050,-0.4049
3051,0.024
3052,5.7318
3053,11.3149
3054,17.6977
3055,10.4294
3056,0.3595
3057,25.1863
3058,48.7849
3059,56.1099
3060,63.4435
3061,67.1915
3062,57.3195
3063,32.1147
3064,21.9651
3065,18.1504
3066,22.7926
3067,56.4718
3068,79.0356
3069,64.0076
3070,61.226
3071,62.2879
3072,69.1641
3073,55.4945
3074,47.6917
3075,47.5582
3076,50.0149
3077,54.1716
3078,57.4665
3079,58.365
3080,14.0765
3081,0.5501
3082,0.7365
3083,5.1811
3084,50.1158
3085,67.3292
3086,51.1249
3087,41.3091
3088,14.4991
3089,6.2821
3090,20.4783
3091,57.5929
3092,80.6184
3093,64.494
3094,82.009
3095,62.4111
3096,66.5942
3097,54.5759
3098,47.6408
3099,50.4837
3100,58.4201
3101,86.0946
3102,175.6965
3103,70.4148
3104,52.7237
3105,12.6802
3106,42.2904
3107,61.4133
3108,74.5605
3109,80.0077
3110,71.1157
3111,27.6542
3112,26.5545
3113,12.6381
3114,18.2237
3115,31.6031
3116,52.4126
3117,73.825
3118,68.2397
3119,67.4051
3120,56.5979
3121,63.1512
3122,76.2724
3123,72.3526
3124,75.5494
3125,70.744
3126,70.657
3127,63.5922
3128,52.5595
3129,19.2756
3130,0.1457
3131,0.3741
3132,4.3041
3133,1.5995
3134,-1.5377
3135,6.2382
3136,16.0261
3137,11.2372
3138,1.8917
3139,8.6054
3140,33.0157
3141,29.1595
3142,6.2489
3143,0.5906
3144,-0.2403
3145,-0.2739
3146,-0.3381
3147,-0.3824
3148,6.7848
3149,35.5353
3150,39.0922
3151,33.1609
3152,-0.0219
3153,-0.5434
3154,-0.6512
3155,-0.7565
3156,12.6057
3157,61.648
3158,78.2453
3159,107.501
3160,254.4857
3161,238.8884
3162,98.255
3163,96.684
3164,107.2863
3165,74.527
3166,56.5749
3167,62.9422
3168,62.1048
3169,32.3546
3170,25.3297
3171,46.6495
3172,44.8659
3173,50.5316
3174,64.1094
3175,43.9059
3176,34.8914
3177,35.8526
3178,45.9315
3179,53.5458
3180,84.832
3181,157.1409
3182,1422.3136
3183,929.3539
3184,3570.7077
3185,491.7669
3186,110.6621
3187,76.8171
3188,87.6187
3189,110.1724
3190,61.7163
3191,52.0919
3192,46.2984
3193,28.0535
3194,8.3622
3195,16.6226
3196,21.782
3197,32.1544
3198,38.2372
3199,39.3545
3200,36.9532
3201,38.4669
3202,46.9993
3203,68.5818
3204,84.2994
3205,80.8323
3206,81.6893
3207,87.3989
3208,82.4577
3209,74.7022
3210,71.0746
3211,75.3756
3212,77.7915
3213,65.409
3214,48.8211
3215,35.6406
3216,11.9408
3217,3.6384
3218,-0.5521
3219,-1.5135
3220,-5.3575
3221,-7.4881
3222,-7.6424
3223,-1.6111
3224,19.6879
3225,28.5195
3226,41.7404
3227,39.4142
3228,47.6855
3229,56.2354
3230,65.5523
3231,70.8743
3232,75.0765
3233,74.4359
3234,70.0459
3235,83.914
3236,86.6905
3237,57.5583
3238,44.133
3239,24.0909
3240,25.5136
3241,31.8409
3242,39.6779
3243,44.3097
3244,42.232
3245,47.1371
3246,57.9761
3247,55.2112
3248,50.631
3249,56.5981
3250,68.1344
3251,72.1776
3252,80.2775
3253,75.4503
3254,71.5972
3255,73.8415
3256,70.9532
3257,73.089
3258,74.2194
3259,61.6844
3260,67.2596
3261,58.4129
3262,66.14
3263,66.3923
3264,102.4093
3265,80.2508
3266,77.8382
3267,63.558
3268,49.7811
3269,54.8515
3270,63.489
3271,55.2551
3272,30.956
3273,1.0827
3274,0.1469
3275,-0.1041
3276,-0.0919
3277,0.3171
3278,4.618
3279,7.016
3280,10.345
3281,9.696
3282,10.2278
3283,35.1838
3284,53.5051
3285,52.1179
3286,59.1751
3287,62.3066
3288,60.7359
3289,49.5755
3290,40.8933
3291,37.2405
3292,43.9492
3293,59.2117
3294,70.9791
3295,57.7209
3296,56.4306
3297,54.0055
3298,42.0535
3299,47.1308
3300,57.0007
3301,66.4204
3302,80.0091
3303,79.5315
3304,108.2794
3305,154.3842
3306,118.7833
3307,196.3309
3308,98.5671
3309,82.9362
3310,65.3028
3311,57.6677
3312,55.8141
3313,48.615
3314,27.7645
3315,28.7318
3316,48.1492
3317,58.9825
3318,63.2128
3319,73.7671
3320,53.1164
3321,51.2703
3322,53.2037
3323,57.6446
3324,62.5849
3325,73.6231
3326,62.532
3327,57.6736
3328,13.0385
3329,52.8395
3330,65.4332
3331,85.3839
3332,85.9196
3333,77.4919
3334,20.8829
3335,7.7304
3336,0.1299
3337,0.7885
3338,32.9418
3339,20.516
3340,39.6752
3341,64.7634
3342,89.1764
3343,70.7614
3344,10.9408
3345,0.5824
3346,65.4668
3347,69.9015
3348,69.9772
3349,95.4664
3350,218.6821
3351,196.6709
3352,167.6052
3353,102.3198
3354,87.104
3355,92.4494
3356,304.7466
3357,83.964
3358,79.5944
3359,78.4408
3360,75.1326
3361,75.007
3362,74.8605
3363,66.0283
3364,51.8673
3365,55.6609
3366,54.0651
3367,33.5198
3368,-0.4978
3369,-0.4729
3370,-2.1135
3371,-1.2337
3372,-0.8766
3373,-0.3053
3374,0.7255
3375,10.4464
3376,31.5898
3377,22.8686
3378,3.0459
3379,15.5927
3380,50.898
3381,50.8506
3382,24.7054
3383,0.2587
3384,-1.1224
3385,-0.8723
3386,-0.5388
3387,-0.4279
3388,1.7758
3389,11.0131
3390,-0.3308
3391,21.1684
3392,5.1744
3393,7.3282
3394,23.3214
3395,47.0199
3396,52.2495
3397,65.8122
3398,73.6879
3399,104.967
3400,89.012
3401,84.3858
3402,87.0827
3403,82.2017
3404,83.5696
3405,75.6373
3406,73.1603
3407,60.997
3408,54.3359
3409,56.7393
3410,60.8566
3411,69.0265
3412,66.2274
3413,72.3031
3414,76.8573
3415,72.7712
3416,69.5833
3417,67.5434
3418,65.6561
3419,74.197
3420,65.0229
3421,69.2307
3422,71.3733
3423,65.4059
3424,59.7771
3425,34.5586
3426,43.5968
3427,53.4968
3428,56.1773
3429,54.128
3430,51.5719
3431,49.6417
3432,45.7979
3433,44.2025
3434,46.9297
3435,20.6116
3436,37.2482
3437,47.7172
3438,70.3738
3439,191.8694
3440,294.7266
3441,208.1415
3442,86.2439
3443,138.9849
3444,91.6548
3445,77.3506
3446,71.631
3447,69.5749
3448,71.4852
3449,65.1454
3450,59.747
3451,50.5121
3452,28.2388
3453,27.0411
3454,44.2764
3455,34.5624
3456,2.9841
3457,13.2982
3458,34.2984
3459,4.672
3460,-0.9903
3461,-1.6364
3462,-2.456
3463,-0.2284
3464,-0.4152
3465,-0.5449
3466,-0.5314
3467,-0.6428
3468,-0.4182
3469,-0.3016
3470,-0.124
3471,1.5673
3472,2.0387
3473,12.3995
3474,16.5623
3475,52.7072
3476,122.0745
3477,99.9424
3478,88.4266
3479,79.4486
3480,87.0335
3481,75.825
3482,53.4508
3483,40.9373
3484,23.5124
3485,14.042
3486,30.8486
3487,9.3538
3488,37.7702
3489,39.7085
3490,31.0698
3491,56.2307
3492,75.2949
3493,76.758
3494,87.5299
3495,108.4736
3496,236.4791
3497,96.0924
3498,90.8829
3499,98.7666
3500,98.2365
3501,82.1527
3502,76.6927
3503,72.9424
3504,61.6862
3505,55.3467
3506,52.71
3507,49.5511
3508,50.6295
3509,53.0426
3510,51.3817
3511,50.8286
3512,50.7785
