 H2OPV.txt
psigma / MPa T / K   Author
21.565101080 645.1976 OSBORNE et al. (1933) 364
21.566620950 645.1996 OSBORNE et al. (1933) 365
21.566823600 645.2036 OSBORNE et al. (1933) 366
21.568647450 645.2106 OSBORNE et al. (1933) 367
21.578779950 645.2536 OSBORNE et al. (1933) 368
21.579590550 645.2556 OSBORNE et al. (1933) 369
21.585568730 645.2816 OSBORNE et al. (1933) 370
21.814664550 646.1575 OSBORNE et al. (1933) 371
21.815171180 646.1575 OSBORNE et al. (1933) 372
21.817096350 646.1665 OSBORNE et al. (1933) 373
21.818312250 646.1705 OSBORNE et al. (1933) 374
21.821453330 646.1795 OSBORNE et al. (1933) 375
21.822669230 646.1865 OSBORNE et al. (1933) 376
21.822061280 646.1885 OSBORNE et al. (1933) 377
21.823479830 646.1915 OSBORNE et al. (1933) 378
21.824695730 646.1955 OSBORNE et al. (1933) 379
21.824493080 646.1955 OSBORNE et al. (1933) 380
21.830167280 646.2125 OSBORNE et al. (1933) 381
21.837057380 646.2425 OSBORNE et al. (1933) 382
21.763898340 645.9535 RIVKIN et al. (1964) 001
21.771743660 645.9835 RIVKIN et al. (1964) 002
21.794298960 646.0735 RIVKIN et al. (1964) 003
21.799202280 646.0935 RIVKIN et al. (1964) 004
21.803124940 646.1035 RIVKIN et al. (1964) 005
21.804105610 646.1035 RIVKIN et al. (1964) 006
21.816854250 646.1635 RIVKIN et al. (1964) 007
21.819796250 646.1735 RIVKIN et al. (1964) 008
21.820776910 646.1735 RIVKIN et al. (1964) 009
21.826660910 646.1935 RIVKIN et al. (1964) 010
21.833525560 646.2235 RIVKIN et al. (1964) 011
21.834506230 646.2235 RIVKIN et al. (1964) 012
22.061039840 647.0834 RIVKIN et al. (1964) 013
0.003168600 298.1437 STIMSON (1969) 001
0.007381300 313.1398 STIMSON (1969) 002
0.012344600 323.1371 STIMSON (1969) 003
0.019933000 333.1344 STIMSON (1969) 004
0.031177000 343.1318 STIMSON (1969) 005
0.047375200 353.1292 STIMSON (1969) 006
0.101325000 373.1244 STIMSON (1969) 007
