H2O Saturated Vapor Density
D / (mol/dm^3) T / K Author
0.000377379 278.147700000 OSBORNE et al. (1939) 022
0.000377385 278.147700000 OSBORNE et al. (1939) 023
0.000377389 278.147700000 OSBORNE et al. (1939) 024
0.000377397 278.147700000 OSBORNE et al. (1939) 025
0.0003774 278.147700000 OSBORNE et al. (1939) 026
0.000377402 278.147700000 OSBORNE et al. (1939) 027
0.000377404 278.147700000 OSBORNE et al. (1939) 028
0.000377404 278.147700000 OSBORNE et al. (1939) 029
0.000521683 283.145700000 OSBORNE et al. (1939) 030
0.000521698 283.145700000 OSBORNE et al. (1939) 031
0.000521717 283.145700000 OSBORNE et al. (1939) 032
0.000521727 283.145700000 OSBORNE et al. (1939) 033
0.000521749 283.145700000 OSBORNE et al. (1939) 034
0.000521782 283.145700000 OSBORNE et al. (1939) 035
0.000521801 283.145700000 OSBORNE et al. (1939) 036
0.000521822 283.145700000 OSBORNE et al. (1939) 037
0.000521825 283.145700000 OSBORNE et al. (1939) 038
0.000521825 283.145700000 OSBORNE et al. (1939) 039
0.000521839 283.145700000 OSBORNE et al. (1939) 040
0.000521846 283.145700000 OSBORNE et al. (1939) 041
0.000521871 283.145700000 OSBORNE et al. (1939) 042
0.000521873 283.145700000 OSBORNE et al. (1939) 043
0.000712129 288.144000000 OSBORNE et al. (1939) 044
0.00071214 288.144000000 OSBORNE et al. (1939) 045
0.00071219 288.144000000 OSBORNE et al. (1939) 046
0.000712218 288.144000000 OSBORNE et al. (1939) 047
0.000712251 288.144000000 OSBORNE et al. (1939) 048
0.00095978 293.142600000 OSBORNE et al. (1939) 049
0.000959819 293.142600000 OSBORNE et al. (1939) 050
0.000959919 293.142600000 OSBORNE et al. (1939) 051
0.000959991 293.142600000 OSBORNE et al. (1939) 052
0.000960086 293.142600000 OSBORNE et al. (1939) 053
0.000960113 293.142600000 OSBORNE et al. (1939) 054
0.000960119 293.142600000 OSBORNE et al. (1939) 055
0.00096013 293.142600000 OSBORNE et al. (1939) 056
0.000960147 293.142600000 OSBORNE et al. (1939) 057
