H2O CP.txt
Density mol/dm3  T / K   CP
18.407279   636.914708    244.832897
17.870400   638.204565    278.775463
17.532278   639.034471    309.927465
17.195205   639.864375    359.633391
17.113723   640.064352    376.452445
30.112636   626.925777    148.741259
31.4   632.605256    173.027642
28.448502   637.894600    220.245659
18.388381   640.744172    279.679830
17.879262   642.044015    335.797389
17.419385   643.243867    428.195897
17.220767   643.763801    507.241489
17.128979   644.003671    553.025491
17.036958   644.243640    634.411266
17.741710   644.383623    399.684934
17.544774   644.913554    458.818250
17.378045   645.363496    526.928574
17.252113   645.703451    608.011692
17.129744   646.033408    731.785591
16.984738   646.423356    993.365481
16.947460   646.523342    1071.807560
16.932535   646.563337    1164.582588
16.913869   646.613330    1224.169888
16.898926   646.653325    1290.545342
16.887714   646.683321    1340.325130
17.332872   647.463109    704.405986
17.318491   647.503103    722.358201
17.296918   647.563095    741.366110
17.257364   647.673080    791.976403
17.210606   647.803062    880.225994
17.156626   647.953042    986.575526
17.084586   648.153014    1193.997917
17.070167   648.193009    1286.018105
17.055743   648.233003    1335.046657
17.030491   648.302994    1545.484804
16.994389   648.402980    1922.616424
16.954635   648.512964    2347.266917
16.911214   648.632948    3211.652086
16.860476   648.772928    5135.778189
16.827808   648.862916    7301.267449
16.806006   648.922907    8432.662310
16.806006   648.922907    8568.430774
16.795098   648.952903    8839.965901
16.784184   648.982899    8953.105387
16.773266   649.012895    8658.941282
16.765984   649.032892    8417.578126
16.755056   649.062888    7791.538555
16.740478   649.102882    6851.727062
16.729537   649.132878    6219.654178
16.700335   649.212866    4961.543525
16.645464   649.362845    3480.924495
16.549957   649.622808    2235.637110
16.468741   649.842677    1753.662034
16.435373   649.932664    1605.826944
16.312322   650.262617    1260.373371
16.157700   650.672558    1008.449664
16.108218   650.802539    956.405357
15.794008   651.612421    719.944155
17.986222   649.472830    486.574373
17.972403   649.512824    490.874618
17.893157   649.742691    528.059933
17.786737   650.052647    581.235599
17.629563   650.512581    695.430780
17.486608   650.932520    851.563703
17.377906   651.252474    1020.518093
17.279471   651.542431    1254.340057
17.218379   651.722405    1460.254571
17.174248   651.852385    1631.471678
