,T [C],P [bar],b [mol/kg],gamma[-],phi [-],Sx/R [-],Hx/RT [-],Cp_x/R [-],rho [g/cm^3],s [J/g.K],h [J/g]
0,0,1.0,0.1,0.78,0.932,0.366,0.005,1.93,1.00429,3.513,-1985.7
1,10,1.0,0.1,0.78,0.933,0.428,0.065,1.57,1.00402,3.663,-1944.1
2,20,1.0,0.1,0.779,0.933,0.479,0.114,1.42,1.00239,3.807,-1902.6
3,25,1.0,0.1,0.778,0.933,0.503,0.135,1.39,1.00117,3.878,-1881.8
4,30,1.0,0.1,0.777,0.932,0.526,0.156,1.38,0.99972,3.947,-1861.1
5,40,1.0,0.1,0.774,0.932,0.571,0.195,1.4,0.99622,4.081,-1819.5
6,50,1.0,0.1,0.77,0.931,0.616,0.233,1.45,0.992,4.212,-1778.0
7,60,1.0,0.1,0.767,0.929,0.661,0.271,1.52,0.98715,4.338,-1736.5
8,60,1.0,0.1,0.767,0.929,0.661,0.271,1.52,0.98715,4.581,-1736.5
9,70,1.0,0.1,0.762,0.928,0.707,0.308,1.62,0.98171,4.461,-1694.9
10,90,1.0,0.1,0.752,0.924,0.806,0.388,1.89,0.9693,4.697,-1611.6
11,100,1.0,0.1,0.746,0.922,0.86,0.43,2.05,0.96237,4.811,-1569.8
12,110,1.4,0.1,0.74,0.92,0.916,0.475,2.24,0.95501,4.922,-1527.8
13,120,2.0,0.1,0.733,0.917,0.976,0.522,2.45,0.94723,5.03,-1485.7
14,130,2.7,0.1,0.726,0.914,1.041,0.573,2.69,0.93901,5.136,-1443.4
15,140,3.6,0.1,0.719,0.912,1.11,0.627,2.97,0.93039,5.24,-1400.9
16,150,4.8,0.1,0.711,0.908,1.184,0.686,3.29,0.92134,5.342,-1358.2
17,160,6.2,0.1,0.703,0.905,1.265,0.75,3.66,0.91188,5.442,-1315.2
18,170,7.9,0.1,0.694,0.901,1.352,0.819,4.09,0.90198,5.54,-1272.0
19,180,10.0,0.1,0.685,0.897,1.448,0.896,4.59,0.89165,5.637,-1228.4
20,190,12.5,0.1,0.675,0.893,1.553,0.981,5.19,0.88086,5.732,-1184.4
21,200,15.5,0.1,0.665,0.889,1.669,1.075,5.91,0.86958,5.826,-1140.1
22,210,19.1,0.1,0.654,0.884,1.799,1.182,6.79,0.8578,5.919,-1095.3
23,220,23.2,0.1,0.643,0.879,1.945,1.303,7.89,0.84548,6.011,-1049.9
24,230,28.0,0.1,0.631,0.873,2.11,1.442,9.26,0.83258,6.102,-1004.0
25,240,33.4,0.1,0.618,0.867,2.301,1.603,11.02,0.81905,6.193,-957.3
26,250,39.7,0.1,0.604,0.86,2.523,1.794,13.32,0.80482,6.283,-909.9
27,260,46.9,0.1,0.589,0.853,2.786,2.023,16.4,0.78984,6.373,-861.5
28,270,55.0,0.1,0.574,0.845,3.104,2.302,20.63,0.77401,6.462,-812.1
29,280,64.1,0.1,0.557,0.837,3.495,2.651,26.59,0.75721,6.553,-761.5
30,290,74.4,0.1,0.539,0.827,3.989,3.098,35.28,0.73932,6.643,-709.5
31,300,85.8,0.1,0.518,0.815,4.633,3.689,48.42,0.72015,6.735,-655.9
32,0,200.0,0.1,0.782,0.933,0.367,0.01,1.82,1.01409,3.514,-1965.9
33,10,200.0,0.1,0.782,0.934,0.425,0.067,1.48,1.01323,3.661,-1925.0
34,20,200.0,0.1,0.781,0.934,0.474,0.113,1.35,1.01123,3.803,-1884.1
35,25,200.0,0.1,0.78,0.934,0.497,0.133,1.32,1.00988,3.872,-1863.7
36,30,200.0,0.1,0.779,0.933,0.518,0.152,1.31,1.00834,3.94,-1843.1
37,40,200.0,0.1,0.776,0.933,0.561,0.189,1.32,1.00471,4.074,-1802.1
38,50,200.0,0.1,0.773,0.932,0.603,0.225,1.37,1.00045,4.203,-1761.0
39,60,200.0,0.1,0.769,0.931,0.646,0.26,1.44,0.99561,4.328,-1719.9
40,70,200.0,0.1,0.765,0.929,0.689,0.296,1.52,0.99025,4.45,-1678.7
41,80,200.0,0.1,0.76,0.927,0.735,0.332,1.63,0.98441,4.563,-1637.5
42,90,200.0,0.1,0.755,0.926,0.782,0.37,1.75,0.97813,4.683,-1596.2
43,100,200.0,0.1,0.75,0.924,0.831,0.409,1.9,0.97142,4.796,-1554.8
44,110,200.0,0.1,0.744,0.921,0.884,0.449,2.06,0.9643,4.906,-1513.3
45,120,200.0,0.1,0.738,0.919,0.939,0.492,2.24,0.95679,5.013,-1471.7
46,130,200.0,0.1,0.731,0.916,0.997,0.538,2.44,0.94889,5.118,-1429.9
47,140,200.0,0.1,0.724,0.914,1.06,0.587,2.66,0.94062,5.221,-1388.0
48,150,200.0,0.1,0.717,0.911,1.127,0.639,2.92,0.93197,5.321,-1345.8
49,160,200.0,0.1,0.709,0.908,1.198,0.695,3.21,0.92294,5.42,-1303.5
50,170,200.0,0.1,0.701,0.904,1.275,0.755,3.54,0.91352,5.511,-1261.0
51,180,200.0,0.1,0.692,0.901,1.358,0.821,3.92,0.9037,5.613,-1218.3
52,190,200.0,0.1,0.683,0.897,1.449,0.893,4.37,0.89347,5.706,-1175.3
53,200,200.0,0.1,0.673,0.893,1.547,0.971,4.89,0.88281,5.799,-1131.9
54,210,200.0,0.1,0.663,0.888,1.656,1.059,5.51,0.87168,5.89,-1088.2
55,220,200.0,0.1,0.653,0.883,1.776,1.156,6.26,0.86006,5.981,-1044.1
56,230,200.0,0.1,0.642,0.878,1.911,1.266,7.18,0.84791,6.07,-999.5
57,240,200.0,0.1,0.63,0.873,2.063,1.392,8.34,0.83518,6.159,-954.3
58,250,200.0,0.1,0.617,0.867,2.237,1.539,9.82,0.82182,6.248,-908.5
59,260,200.0,0.1,0.604,0.861,2.441,1.711,11.76,0.80774,6.336,-862.0
60,270,200.0,0.1,0.59,0.853,2.682,1.919,14.38,0.79286,6.424,-814.6
61,280,200.0,0.1,0.574,0.846,2.976,2.176,18.04,0.77706,6.512,-766.2
62,290,200.0,0.1,0.558,0.837,3.344,2.502,23.34,0.7602,6.601,-716.5
63,300,200.0,0.1,0.539,0.827,3.82,2.93,31.37,0.74208,6.691,-665.4
64,0,400.0,0.1,0.785,0.934,0.368,0.015,1.72,1.0235,3.513,-1946.5
65,10,400.0,0.1,0.785,0.935,0.423,0.069,1.4,1.0221,3.658,-1906.3
66,20,400.0,0.1,0.784,0.935,0.469,0.112,1.28,1.01976,3.798,-1865.9
67,25,400.0,0.1,0.783,0.935,0.49,0.131,1.25,1.01829,3.866,-1845.7
68,30,400.0,0.1,0.782,0.934,0.511,0.149,1.24,1.01665,3.934,-1825.4
69,40,400.0,0.1,0.779,0.934,0.551,0.184,1.25,1.0129,4.066,-1784.7
70,50,400.0,0.1,0.776,0.933,0.591,0.218,1.29,1.00857,4.194,-1744.0
71,60,400.0,0.1,0.772,0.932,0.632,0.251,1.36,1.00374,4.318,-1703.2
72,70,400.0,0.1,0.768,0.93,0.673,0.285,1.44,0.99843,4.439,-1662.4
73,80,400.0,0.1,0.763,0.929,0.715,0.318,1.53,0.9927,4.556,-1621.6
74,90,400.0,0.1,0.759,0.927,0.76,0.353,1.64,0.98655,4.67,-1580.7
75,100,400.0,0.1,0.753,0.925,0.806,0.389,1.76,0.98002,4.782,-1539.7
76,110,400.0,0.1,0.748,0.923,0.854,0.427,1.9,0.97311,4.89,-1498.5
77,120,400.0,0.1,0.742,0.921,0.905,0.466,2.05,0.96586,4.997,-1457.3
78,130,400.0,0.1,0.735,0.918,0.959,0.508,2.22,0.95826,5.1,-1415.9
79,140,400.0,0.1,0.729,0.916,1.016,0.552,2.41,0.95032,5.202,-1374.4
80,150,400.0,0.1,0.722,0.913,1.076,0.598,2.62,0.94206,5.302,-1332.8
81,160,400.0,0.1,0.714,0.91,1.14,0.647,2.85,0.93346,5.399,-1291.0
82,170,400.0,0.1,0.707,0.907,1.207,0.7,3.1,0.92452,5.495,-1249.1
83,180,400.0,0.1,0.699,0.903,1.28,0.756,3.39,0.91525,5.589,-1206.9
84,190,400.0,0.1,0.69,0.9,1.357,0.816,3.71,0.90563,5.681,-1164.6
85,200,400.0,0.1,0.682,0.896,1.44,0.881,4.08,0.89566,5.772,-1122.0
86,210,400.0,0.1,0.672,0.892,1.53,0.952,4.5,0.88531,5.862,-1079.1
87,220,400.0,0.1,0.663,0.888,1.627,1.029,4.99,0.87457,5.951,-1036.0
88,230,400.0,0.1,0.653,0.884,1.733,1.113,5.57,0.86341,6.038,-992.4
89,240,400.0,0.1,0.642,0.879,1.849,1.206,6.25,0.85182,6.124,-948.5
90,250,400.0,0.1,0.631,0.874,1.978,1.311,7.09,0.83976,6.21,-904.1
91,260,400.0,0.1,0.62,0.868,2.121,1.428,8.12,0.82719,6.295,-859.2
92,270,400.0,0.1,0.608,0.862,2.284,1.563,9.42,0.81407,6.38,-813.8
93,280,400.0,0.1,0.595,0.856,2.47,1.719,11.1,0.80036,6.464,-767.6
94,290,400.0,0.1,0.581,0.849,2.688,1.905,13.33,0.78598,6.548,-720.7
95,300,400.0,0.1,0.567,0.842,2.948,2.129,16.4,0.77087,6.632,-672.9
96,0,600.0,0.1,0.788,0.935,0.369,0.02,1.62,1.0325,3.511,-1927.7
97,10,600.0,0.1,0.787,0.936,0.421,0.071,1.33,1.03062,3.654,-1888.0
98,20,600.0,0.1,0.786,0.936,0.464,0.111,1.21,1.02796,3.792,-1848.0
99,25,600.0,0.1,0.785,0.936,0.485,0.13,1.19,1.02638,3.86,-1827.9
100,30,600.0,0.1,0.784,0.935,0.504,0.147,1.18,1.02465,3.927,-1807.8
101,40,600.0,0.1,0.781,0.935,0.543,0.18,1.19,1.02077,4.058,-1767.5
102,50,600.0,0.1,0.778,0.934,0.581,0.212,1.23,1.01638,4.185,-1727.1
103,60,600.0,0.1,0.775,0.933,0.619,0.243,1.28,1.01154,4.308,-1686.7
104,70,600.0,0.1,0.771,0.931,0.658,0.274,1.36,1.00627,4.428,-1646.2
105,80,600.0,0.1,0.766,0.93,0.698,0.306,1.44,1.00061,4.544,-1605.7
106,90,600.0,0.1,0.762,0.928,0.74,0.339,1.54,0.99458,4.657,-1565.1
107,100,600.0,0.1,0.757,0.926,0.783,0.372,1.65,0.98819,4.768,-1524.4
108,110,600.0,0.1,0.751,0.924,0.828,0.407,1.77,0.98147,4.876,-1483.7
109,120,600.0,0.1,0.745,0.922,0.875,0.444,1.9,0.97443,4.981,-1442.8
110,130,600.0,0.1,0.739,0.92,0.925,0.482,2.05,0.96708,5.084,-1401.8
111,140,600.0,0.1,0.733,0.917,0.971,0.521,2.2,0.95942,5.185,-1360.7
112,150,600.0,0.1,0.727,0.915,1.032,0.563,2.37,0.95147,5.283,-1319.5
113,160,600.0,0.1,0.72,0.912,1.089,0.607,2.56,0.94323,5.38,-1278.2
114,170,600.0,0.1,0.712,0.909,1.15,0.653,2.76,0.9347,5.474,-1236.7
115,180,600.0,0.1,0.705,0.906,1.214,0.702,2.98,0.92587,5.567,-1195.1
116,190,600.0,0.1,0.697,0.903,1.282,0.754,3.22,0.91675,5.659,-1153.3
117,200,600.0,0.1,0.689,0.899,1.353,0.809,3.49,0.90732,5.748,-1111.3
118,210,600.0,0.1,0.68,0.896,1.429,0.868,3.79,0.89758,5.836,-1069.1
119,220,600.0,0.1,0.672,0.892,1.51,0.93,4.12,0.88752,5.923,-1026.7
120,230,600.0,0.1,0.662,0.888,1.597,0.997,4.49,0.87712,6.009,-984.0
121,240,600.0,0.1,0.653,0.884,1.689,1.069,4.91,0.86637,6.094,-941.0
122,250,600.0,0.1,0.643,0.879,1.788,1.147,5.4,0.85526,6.177,-897.7
123,260,600.0,0.1,0.633,0.874,1.896,1.232,5.97,0.84376,6.26,-854.0
124,270,600.0,0.1,0.622,0.869,2.013,1.325,6.65,0.83185,6.342,-809.9
125,280,600.0,0.1,0.611,0.864,2.141,1.429,7.47,0.8195,6.423,-765.3
126,290,600.0,0.1,0.6,0.858,2.284,1.545,8.5,0.80668,6.504,-720.2
127,300,600.0,0.1,0.588,0.852,2.445,1.677,9.79,0.79336,6.585,-674.5
128,0,800.0,0.1,0.79,0.936,0.37,0.025,1.52,1.0411,3.508,-1909.2
129,10,800.0,0.1,0.79,0.937,0.419,0.073,1.26,1.0388,3.649,-1869.9
130,20,800.0,0.1,0.788,0.937,0.46,0.111,1.15,1.03586,3.786,-1830.4
131,25,800.0,0.1,0.787,0.937,0.48,0.128,1.13,1.03417,3.854,-1810.5
132,30,800.0,0.1,0.786,0.936,0.498,0.145,1.12,1.03235,3.92,-1790.5
133,40,800.0,0.1,0.784,0.936,0.535,0.176,1.13,1.02835,4.05,-1750.5
134,50,800.0,0.1,0.781,0.935,0.571,0.206,1.17,1.02391,4.176,-1710.4
135,60,800.0,0.1,0.777,0.934,0.607,0.236,1.22,1.01905,4.298,-1670.3
136,70,800.0,0.1,0.773,0.932,0.644,0.265,1.29,1.0138,4.417,-1630.1
137,80,800.0,0.1,0.769,0.931,0.682,0.295,1.37,1.0082,4.532,-1589.9
138,90,800.0,0.1,0.764,0.929,0.722,0.326,1.45,1.00226,4.645,-1549.6
139,100,800.0,0.1,0.76,0.927,0.762,0.357,1.55,0.996,4.755,-1509.2
140,110,800.0,0.1,0.754,0.926,0.805,0.39,1.66,0.98943,4.862,-1468.7
141,110,800.0,0.1,0.754,0.926,0.805,0.614,1.66,0.98943,4.862,-1468.7
142,120,800.0,0.1,0.749,0.924,0.849,0.424,1.77,0.98257,4.966,-1428.2
143,130,800.0,0.1,0.743,0.921,0.895,0.459,1.9,0.97543,5.068,-1387.5
144,140,800.0,0.1,0.737,0.919,0.943,0.495,2.03,0.96801,5.168,-1346.8
145,150,800.0,0.1,0.731,0.917,0.993,0.533,2.17,0.96033,5.266,-1305.9
146,160,800.0,0.1,0.724,0.914,1.046,0.573,2.33,0.95239,5.361,-1265.0
147,180,800.0,0.1,0.71,0.908,1.158,0.657,2.66,0.93573,5.547,-1182.8
148,190,800.0,0.1,0.703,0.905,1.219,0.703,2.85,0.92702,5.637,-1141.4
149,200,800.0,0.1,0.695,0.902,1.282,0.75,3.05,0.91804,5.726,-1100.0
150,210,800.0,0.1,0.687,0.899,1.347,0.8,3.26,0.90879,5.813,-1058.4
151,220,800.0,0.1,0.679,0.895,1.417,0.852,3.49,0.89927,5.898,-1016.6
152,230,800.0,0.1,0.671,0.892,1.489,0.907,3.74,0.88948,5.983,-974.6
153,240,800.0,0.1,0.662,0.888,1.565,0.965,4.0,0.87939,6.066,-932.3
154,250,800.0,0.1,0.653,0.884,1.645,1.026,4.3,0.86901,6.148,-889.8
155,260,800.0,0.1,0.644,0.88,1.73,1.09,4.63,0.85832,6.229,-847.1
156,270,800.0,0.1,0.634,0.875,1.819,1.158,5.0,0.8473,6.309,-804.0
157,280,800.0,0.1,0.624,0.87,1.914,1.231,5.42,0.83595,6.388,-760.5
158,290,800.0,0.1,0.614,0.865,2.015,1.31,5.91,0.82423,6.467,-716.7
159,300,800.0,0.1,0.604,0.86,2.124,1.395,6.5,0.81215,6.545,-672.5
160,0,1000.0,0.1,0.792,0.937,0.371,0.03,1.44,1.04932,3.504,-1891.2
161,10,1000.0,0.1,0.792,0.938,0.417,0.075,1.19,1.04666,3.644,-1852.2
162,20,1000.0,0.1,0.79,0.938,0.457,0.111,1.1,1.04347,3.76,-1812.9
163,25,1000.0,0.1,0.79,0.937,0.475,0.127,1.08,1.04168,3.847,-1793.2
164,30,1000.0,0.1,0.788,0.937,0.493,0.143,1.07,1.03979,3.913,-1773.4
165,40,1000.0,0.1,0.786,0.937,0.528,0.173,1.08,1.03568,4.042,-1733.6
166,50,1000.0,0.1,0.783,0.936,0.562,0.201,1.11,1.03117,4.167,-1693.8
167,60,1000.0,0.1,0.779,0.935,0.597,0.229,1.16,1.02629,4.288,-1654.0
168,70,1000.0,0.1,0.776,0.933,0.632,0.257,1.23,1.02106,4.406,-1614.0
169,80,1000.0,0.1,0.772,0.932,0.668,0.285,1.3,1.0155,4.521,-1574.1
170,90,1000.0,0.1,0.767,0.93,0.705,0.314,1.38,1.00963,4.633,-1534.0
171,100,1000.0,0.1,0.762,0.929,0.744,0.344,1.47,1.00348,4.742,-1493.9
172,110,1000.0,0.1,0.757,0.927,0.784,0.375,1.56,0.99704,4.848,-1453.5
173,120,1000.0,0.1,0.752,0.925,0.825,0.406,1.66,0.99033,4.952,-1413.5
174,130,1000.0,0.1,0.747,0.923,0.868,0.439,1.77,0.98337,5.053,-1373.1
175,140,1000.0,0.1,0.741,0.921,0.913,0.472,1.89,0.97616,5.152,-1332.7
176,150,1000.0,0.1,0.735,0.918,0.96,0.507,2.01,0.96871,5.249,-1292.2
177,160,1000.0,0.1,0.729,0.916,1.008,0.543,2.14,0.96102,5.344,-1251.6
178,170,1000.0,0.1,0.722,0.913,1.059,0.581,2.27,0.9531,5.437,-1210.9
179,180,1000.0,0.1,0.715,0.911,1.111,0.62,2.41,0.94496,5.528,-1170.1
180,190,1000.0,0.1,0.708,0.908,1.165,0.66,2.56,0.93658,5.617,-1129.2
181,200,1000.0,0.1,0.701,0.905,1.221,0.702,2.71,0.92798,5.705,-1085.2
182,210,1000.0,0.1,0.694,0.902,1.28,0.745,2.87,0.91914,5.791,-1041.1
183,220,1000.0,0.1,0.686,0.898,1.34,0.79,3.03,0.91007,5.875,-1005.8
184,230,1000.0,0.1,0.678,0.895,1.403,0.836,3.2,0.90077,5.959,-964.4
185,240,1000.0,0.1,0.67,0.891,1.467,0.883,3.37,0.89122,6.041,-922.8
186,250,1000.0,0.1,0.662,0.888,1.534,0.933,3.55,0.88142,6.121,-881.0
187,260,1000.0,0.1,0.653,0.884,1.603,0.984,3.74,0.87136,6.201,-838.9
188,270,1000.0,0.1,0.644,0.88,1.674,1.036,3.95,0.86104,6.279,-796.7
189,280,1000.0,0.1,0.636,0.876,1.748,1.091,4.17,0.85045,6.357,-754.1
190,290,1000.0,0.1,0.627,0.871,1.825,1.148,4.41,0.83957,6.434,-711.3
191,300,1000.0,0.1,0.617,0.867,1.905,1.207,4.69,0.82841,6.51,-668.2
192,0,1.0,0.25,0.717,0.918,0.392,-0.108,3.69,1.01086,3.507,-1968.2
193,10,1.0,0.25,0.72,0.92,0.507,0.008,2.81,1.01032,3.654,-1927.1
194,20,1.0,0.25,0.72,0.922,0.597,0.096,2.43,1.00851,3.797,-1886.0
195,25,1.0,0.25,0.72,0.922,0.637,0.135,2.33,1.00722,3.866,-1865.5
196,30,1.0,0.25,0.719,0.922,0.675,0.17,2.27,1.00571,3.935,-1845.0
197,40,1.0,0.25,0.716,0.922,0.748,0.236,2.22,1.00212,4.068,-1803.9
198,50,1.0,0.25,0.713,0.921,0.818,0.298,2.26,0.99784,4.197,-1762.8
199,60,1.0,0.25,0.708,0.92,0.888,0.358,2.34,0.99296,4.323,-1721.6
200,60,1.0,0.25,0.708,0.92,0.888,0.358,2.34,0.99296,4.563,-1721.6
201,70,1.0,0.25,0.703,0.919,0.959,0.417,2.46,0.98748,4.444,-1680.5
202,90,1.0,0.25,0.691,0.914,1.107,0.539,2.81,0.97508,4.678,-1598.0
203,100,1.0,0.25,0.684,0.912,1.187,0.603,3.04,0.96819,4.79,-1556.7
204,110,1.4,0.25,0.676,0.909,1.27,0.67,3.31,0.96089,4.9,-1515.1
205,120,2.0,0.25,0.668,0.905,1.359,0.741,3.61,0.95316,5.007,-1473.4
206,130,2.7,0.25,0.659,0.902,1.454,0.816,3.96,0.94503,5.112,-1431.6
207,140,3.6,0.25,0.649,0.898,1.556,0.897,4.36,0.93649,5.215,-1389.6
208,150,4.8,0.25,0.639,0.893,1.665,0.983,4.82,0.92755,5.316,-1347.3
209,160,6.2,0.25,0.629,0.889,1.783,1.077,5.36,0.9182,5.414,-1304.8
210,170,7.9,0.25,0.618,0.884,1.911,1.18,5.98,0.90843,5.512,-1262.1
211,180,10.0,0.25,0.606,0.879,2.051,1.293,6.71,0.89824,5.607,-1219.1
212,190,12.5,0.25,0.594,0.873,2.205,1.417,7.59,0.8876,5.701,-1175.7
213,200,15.5,0.25,0.581,0.867,2.374,1.556,8.63,0.87649,5.794,-1132.0
214,210,19.1,0.25,0.568,0.86,2.564,1.711,9.91,0.86489,5.885,-1087.8
215,220,23.2,0.25,0.554,0.853,2.776,1.888,11.49,0.85276,5.976,-1043.1
216,230,28.0,0.25,0.539,0.846,3.018,2.091,13.47,0.84007,6.066,-997.9
217,240,33.4,0.25,0.523,0.837,3.295,2.326,16.02,0.82677,6.155,-952.0
218,250,39.7,0.25,0.507,0.828,3.618,2.603,19.35,0.81281,6.213,-905.4
219,260,46.9,0.25,0.49,0.819,4.0,2.935,23.79,0.79813,6.331,-857.9
220,270,55.0,0.25,0.471,0.805,4.461,3.341,29.9,0.78265,6.419,-809.5
221,280,64.1,0.25,0.452,0.796,5.028,3.847,38.51,0.76627,6.507,-760.1
222,290,74.4,0.25,0.431,0.782,5.744,4.494,51.06,0.7489,6.596,-709.4
223,300,85.8,0.25,0.408,0.767,6.677,5.349,70.06,0.73039,6.685,-657.3
224,0,200.0,0.25,0.722,0.92,0.402,-0.09,3.41,1.02052,3.506,-1948.6
225,10,200.0,0.25,0.724,0.922,0.509,0.018,2.62,1.01942,3.652,-1908.3
226,20,200.0,0.25,0.724,0.924,0.593,0.1,2.28,1.01726,3.792,-1867.8
227,25,200.0,0.25,0.723,0.924,0.631,0.135,2.19,1.01585,3.861,-1847.5
228,30,200.0,0.25,0.723,0.924,0.667,0.169,2.13,1.01425,3.928,-1827.2
229,40,200.0,0.25,0.72,0.924,0.735,0.231,2.09,1.01054,4.06,-1786.5
230,50,200.0,0.25,0.717,0.923,0.801,0.288,2.12,1.00622,4.188,-1745.8
231,60,200.0,0.25,0.712,0.922,0.867,0.344,2.19,1.00135,4.312,-1705.1
232,70,200.0,0.25,0.707,0.92,0.933,0.4,2.3,0.99596,4.433,-1664.1
233,80,200.0,0.25,0.702,0.918,1.001,0.456,2.44,0.99013,4.55,-1623.6
234,90,200.0,0.25,0.695,0.916,1.072,0.513,2.61,0.98386,4.664,-1582.7
235,100,200.0,0.25,0.688,0.914,1.145,0.572,2.81,0.97718,4.776,-1541.7
236,110,200.0,0.25,0.681,0.911,1.223,0.633,3.04,0.97011,4.884,-1500.6
237,120,200.0,0.25,0.673,0.908,1.304,0.697,3.3,0.96267,4.99,-1459.4
238,130,200.0,0.25,0.665,0.904,1.391,0.765,3.59,0.95485,5.094,-1418.0
239,140,200.0,0.25,0.656,0.901,1.482,0.838,3.92,0.94666,5.196,-1376.5
240,150,200.0,0.25,0.647,0.897,1.58,0.915,4.29,0.93811,5.295,-1334.9
241,160,200.0,0.25,0.637,0.892,1.685,0.997,4.72,0.92919,5.393,-1293.1
242,170,200.0,0.25,0.626,0.888,1.798,1.087,5.2,0.91989,5.489,-1251.1
243,180,200.0,0.25,0.615,0.883,1.921,1.184,5.76,0.91021,5.583,-1208.8
244,190,200.0,0.25,0.604,0.878,2.053,1.289,6.41,0.90012,5.676,-1166.3
245,200,200.0,0.25,0.592,0.872,2.198,1.405,7.17,0.8896,5.767,-1123.6
246,210,200.0,0.25,0.579,0.866,2.357,1.533,8.07,0.87864,5.858,-1080.5
247,220,200.0,0.25,0.566,0.86,2.533,1.677,9.17,0.86719,5.947,-1037.0
248,230,200.0,0.25,0.553,0.853,2.73,1.838,10.51,0.85523,6.035,-993.0
249,240,200.0,0.25,0.538,0.845,2.953,2.023,12.18,0.8427,6.122,-948.6
250,250,200.0,0.25,0.523,0.837,3.208,2.237,14.33,0.82955,6.209,-903.5
251,260,200.0,0.25,0.507,0.828,3.504,2.489,17.14,0.81571,6.296,-857.8
252,270,200.0,0.25,0.49,0.818,3.856,2.792,20.94,0.8011,6.382,-811.3
253,280,200.0,0.25,0.472,0.808,4.283,3.165,26.23,0.78561,6.469,-763.9
254,290,200.0,0.25,0.452,0.796,4.817,3.638,33.88,0.76914,6.556,-715.3
255,300,200.0,0.25,0.431,0.782,5.508,4.259,45.47,0.75151,6.644,-665.5
256,0,400.0,0.25,0.726,0.922,0.412,-0.073,3.16,1.02979,3.505,-1929.5
257,10,400.0,0.25,0.728,0.924,0.511,0.027,2.45,1.02819,3.648,-1889.7
258,20,400.0,0.25,0.728,0.925,0.59,0.103,2.13,1.0257,3.787,-1849.3
259,25,400.0,0.25,0.727,0.925,0.625,0.137,2.05,1.02418,3.855,-1829.7
260,30,400.0,0.25,0.726,0.926,0.659,0.168,2.0,1.02249,3.922,-1809.6
261,40,400.0,0.25,0.724,0.925,0.723,0.226,1.97,1.01866,4.052,-1769.3
262,50,400.0,0.25,0.72,0.924,0.786,0.28,2.0,1.01428,4.179,-1729.0
263,60,400.0,0.25,0.716,0.923,0.847,0.332,2.06,1.00942,4.302,-1688.6
264,70,400.0,0.25,0.711,0.922,0.91,0.384,2.16,1.00409,4.422,-1648.2
265,80,400.0,0.25,0.706,0.92,0.974,0.436,2.29,0.99835,4.538,-1607.7
266,90,400.0,0.25,0.7,0.918,1.039,0.489,2.44,0.99223,4.651,-1567.2
267,100,400.0,0.25,0.693,0.916,1.108,0.544,2.61,0.98573,4.761,-1526.6
268,110,400.0,0.25,0.686,0.913,1.18,0.6,2.81,0.97887,4.869,-1485.8
269,120,400.0,0.25,0.679,0.91,1.255,0.659,3.03,0.97168,4.974,-1445.0
270,130,400.0,0.25,0.671,0.907,1.334,0.721,3.27,0.96415,5.077,-1404.1
271,140,400.0,0.25,0.662,0.903,1.417,0.786,3.55,0.9563,5.178,-1363.0
272,150,400.0,0.25,0.653,0.9,1.506,0.855,3.85,0.94812,5.276,-1321.8
273,160,400.0,0.25,0.644,0.896,1.599,0.928,4.19,0.93963,5.373,-1280.5
274,170,400.0,0.25,0.634,0.892,1.699,1.005,4.57,0.93081,5.468,-1239.0
275,180,400.0,0.25,0.624,0.887,1.806,1.089,4.99,0.92166,5.56,-1197.4
276,190,400.0,0.25,0.613,0.882,1.92,1.178,5.47,0.91217,5.652,-1155.5
277,200,400.0,0.25,0.602,0.877,2.043,1.274,6.02,0.90233,5.742,-1113.5
278,210,400.0,0.25,0.591,0.872,2.175,1.379,6.64,0.89213,5.83,-1071.2
279,220,400.0,0.25,0.579,0.866,2.318,1.493,7.36,0.88154,5.917,-1028.6
280,230,400.0,0.25,0.566,0.86,2.474,1.618,8.21,0.87055,6.003,-985.7
281,240,400.0,0.25,0.553,0.853,2.645,1.756,9.22,0.85913,6.089,-942.4
282,250,400.0,0.25,0.54,0.846,2.835,1.91,10.45,0.84725,6.173,-898.7
283,260,400.0,0.25,0.526,0.838,3.046,2.084,11.96,0.83487,6.257,-854.5
284,270,400.0,0.25,0.511,0.83,3.285,2.282,13.86,0.82195,6.34,-809.8
285,280,400.0,0.25,0.496,0.821,3.56,2.513,16.32,0.80844,6.422,-764.6
286,290,400.0,0.25,0.479,0.812,3.88,2.785,19.58,0.79429,6.505,-718.6
287,300,400.0,0.25,0.462,0.801,4.261,3.115,24.04,0.77943,6.587,-671.8
288,0,600.0,0.25,0.73,0.924,0.421,-0.057,2.93,1.03867,3.502,-1910.9
289,10,600.0,0.25,0.731,0.926,0.513,0.035,2.29,1.03661,3.644,-1871.6
290,20,600.0,0.25,0.731,0.927,0.587,0.107,2.01,1.03381,3.781,-1832.0
291,25,600.0,0.25,0.73,0.927,0.62,0.138,1.93,1.03219,3.848,-1812.1
292,30,600.0,0.25,0.729,0.927,0.652,0.167,1.89,1.03041,3.915,-1792.2
293,40,600.0,0.25,0.727,0.927,0.713,0.221,1.86,1.02646,4.044,-1752.2
294,50,600.0,0.25,0.724,0.926,0.771,0.272,1.88,1.02203,4.17,-1712.2
295,60,600.0,0.25,0.72,0.925,0.83,0.322,1.94,1.01716,4.292,-1672.2
