Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Entropy (J/mol*K)
316,15.5,12.844,55.642
316,16,12.789,55.376
316,16.5,12.738,55.127
316,17,12.692,54.891
316,17.5,12.649,54.668
316,18,12.609,54.455
316,18.5,12.573,54.252
316,19,12.538,54.058
316,19.5,12.506,53.871
316,20,12.476,53.692
316,20.5,12.448,53.519
316,21,12.422,53.352
316,21.5,12.397,53.19
316,22,12.374,53.033
316,22.5,12.352,52.882
316,23,12.331,52.734
316,23.5,12.312,52.591
316,24,12.293,52.451
316,24.5,12.276,52.315
316,25,12.259,52.182
316,25.5,12.244,52.053
316,26,12.229,51.926
316,26.5,12.215,51.802
316,27,12.202,51.681
316,27.5,12.189,51.562
316,28,12.177,51.446
316,28.5,12.166,51.332
316,29,12.155,51.221
316,29.5,12.145,51.111
316,30,12.136,51.003
316,30.5,12.127,50.897
316,31,12.118,50.793
316,31.5,12.11,50.691
316,32,12.103,50.591
316,32.5,12.096,50.492
316,33,12.089,50.394
316,33.5,12.083,50.298
316,34,12.077,50.204
316,34.5,12.071,50.111
316,35,12.066,50.019
316,35.5,12.061,49.929
316,36,12.057,49.839
318,8,18.566,75.606
318,8.5,17.941,73.376
318,9,17.151,70.668
318,9.5,16.179,67.428
318,10,15.273,64.427
318,10.5,14.672,62.408
318,11,14.289,61.086
318,11.5,14.021,60.132
318,12,13.819,59.389
318,12.5,13.657,58.778
318,13,13.524,58.258
318,13.5,13.411,57.805
318,14,13.314,57.401
318,14.5,13.228,57.037
318,15,13.152,56.704
318,15.5,13.084,56.397
318,16,13.022,56.112
318,16.5,12.966,55.845
318,17,12.915,55.594
318,17.5,12.868,55.357
318,18,12.824,55.132
318,18.5,12.784,54.918
318,19,12.746,54.713
318,19.5,12.711,54.517
318,20,12.679,54.329
318,20.5,12.648,54.149
318,21,12.619,53.974
318,21.5,12.592,53.806
318,22,12.567,53.643
318,22.5,12.543,53.485
318,23,12.521,53.332
318,23.5,12.5,53.184
318,24,12.48,53.039
318,24.5,12.461,52.899
318,25,12.443,52.762
318,25.5,12.426,52.628
318,26,12.41,52.497
318,26.5,12.395,52.37
318,27,12.381,52.245
318,27.5,12.367,52.123
318,28,12.354,52.004
318,28.5,12.342,51.887
318,29,12.33,51.772
318,29.5,12.319,51.66
318,30,12.309,51.549
318,30.5,12.299,51.441
318,31,12.29,51.335
318,31.5,12.281,51.23
318,32,12.273,51.127
318,32.5,12.265,51.026
318,33,12.258,50.926
318,33.5,12.251,50.828
318,34,12.244,50.732
318,34.5,12.238,50.637
318,35,12.232,50.543
318,35.5,12.227,50.451
318,36,12.222,50.36
320,8,18.833,76.443
320,8.5,18.287,74.461
320,9,17.629,72.164
320,9.5,16.833,69.478
320,10,15.971,66.616
320,10.5,15.26,64.25
320,11,14.769,62.591
320,11.5,14.431,61.417
320,12,14.182,60.529
320,12.5,13.989,59.817
320,13,13.832,59.223
320,13.5,13.701,58.712
320,14,13.589,58.263
320,14.5,13.491,57.862
320,15,13.406,57.499
320,15.5,13.329,57.166
320,16,13.26,56.858
320,16.5,13.198,56.572
320,17,13.141,56.304
320,17.5,13.089,56.052
320,18,13.042,55.814
320,18.5,12.997,55.588
320,19,12.956,55.372
320,19.5,12.918,55.167
320,20,12.883,54.97
320,20.5,12.85,54.781
320,21,12.819,54.599
320,21.5,12.789,54.423
320,22,12.762,54.254
320,22.5,12.736,54.09
320,23,12.712,53.931
320,23.5,12.689,53.777
320,24,12.667,53.627
320,24.5,12.647,53.482
320,25,12.628,53.34
320,25.5,12.609,53.202
320,26,12.592,53.068
320,26.5,12.576,52.936
320,27,12.56,52.808
320,27.5,12.545,52.683
320,28,12.531,52.56
320,28.5,12.518,52.44
320,29,12.506,52.322
320,29.5,12.494,52.207
320,30,12.483,52.094
320,30.5,12.472,51.983
320,31,12.462,51.874
320,31.5,12.452,51.767
320,32,12.443,51.661
320,32.5,12.435,51.558
320,33,12.427,51.456
320,33.5,12.419,51.356
320,34,12.412,51.258
320,34.5,12.405,51.161
320,35,12.399,51.065
320,35.5,12.393,50.971
320,36,12.387,50.878
330,8,19.886,79.686
330,8.5,19.529,78.288
330,9,19.141,76.825
330,9.5,18.716,75.283
330,10,18.252,73.649
330,10.5,17.754,71.937
330,11,17.239,70.194
330,11.5,16.737,68.513
330,12,16.285,66.997
330,12.5,15.902,65.701
330,13,15.587,64.621
330,13.5,15.329,63.719
330,14,15.115,62.957
330,14.5,14.935,62.303
330,15,14.782,61.732
330,15.5,14.649,61.226
330,16,14.533,60.772
330,16.5,14.43,60.361
330,17,14.338,59.984
330,17.5,14.255,59.637
330,18,14.18,59.315
330,18.5,14.111,59.014
330,19,14.048,58.732
330,19.5,13.991,58.465
330,20,13.937,58.214
330,20.5,13.888,57.975
330,21,13.842,57.747
330,21.5,13.799,57.53
330,22,13.759,57.321
330,22.5,13.722,57.122
330,23,13.686,56.93
330,23.5,13.653,56.744
330,24,13.622,56.566
330,24.5,13.593,56.393
330,25,13.565,56.226
330,25.5,13.539,56.064
330,26,13.515,55.907
330,26.5,13.491,55.754
330,27,13.469,55.605
330,27.5,13.448,55.461
330,28,13.428,55.32
330,28.5,13.409,55.182
330,29,13.392,55.048
330,29.5,13.375,54.917
330,30,13.358,54.788
330,30.5,13.343,54.663
330,31,13.328,54.54
330,31.5,13.315,54.42
330,32,13.301,54.302
330,32.5,13.289,54.186
330,33,13.277,54.073
330,33.5,13.266,53.961
330,34,13.255,53.852
330,34.5,13.245,53.744
330,35,13.235,53.638
330,35.5,13.226,53.534
330,36,13.217,53.432
340,8,20.711,82.149
340,8.5,20.434,80.99
340,9,20.143,79.819
340,9.5,19.836,78.629
340,10,19.513,77.418
340,10.5,19.174,76.182
340,11,18.821,74.925
340,11.5,18.459,73.658
340,12,18.093,72.398
340,12.5,17.733,71.171
340,13,17.39,70.005
340,13.5,17.071,68.922
340,14,16.783,67.937
340,14.5,16.526,67.053
340,15,16.3,66.264
340,15.5,16.101,65.56
340,16,15.926,64.93
340,16.5,15.771,64.364
340,17,15.633,63.85
340,17.5,15.51,63.383
340,18,15.399,62.954
340,18.5,15.298,62.558
340,19,15.207,62.191
340,19.5,15.124,61.849
340,20,15.047,61.528
340,20.5,14.977,61.226
340,21,14.912,60.942
340,21.5,14.852,60.672
340,22,14.796,60.416
340,22.5,14.743,60.172
340,23,14.695,59.939
340,23.5,14.649,59.716
340,24,14.606,59.503
340,24.5,14.566,59.297
340,25,14.528,59.1
340,25.5,14.492,58.909
340,26,14.459,58.725
340,26.5,14.427,58.547
